241 1444
76 166 0.0659341
77 232 0.0229885
77 230 0.0188679
77 238 0.0379747
77 19 0.0214286
77 33 0.0214286
77 76 0.0213523
78 201 0.00706714
78 86 0.0105634
78 25 0.0237288
78 203 0.010453
78 20 0.00344828
78 9 0.0176678
78 61 0.0131148
79 59 0.0249221
79 54 0.0669145
79 102 0.027027
79 51 0.09319
79 197 0.00374532
79 211 0.0378549
79 69 0.040146
79 100 0.0131148
80 128 0.010453
80 183 0.0308219
80 209 0.0464286
80 77 0.0282686
80 197 0.0186567
80 164 0.035461
80 199 0.0675676
80 2 0.0391459
80 64 0.0299003
80 127 0.0586081
80 154 0.0130293
80 176 0.0617761
80 125 0.0425532
80 133 0.0693431
80 44 0.0551471
80 79 0.0692042
81 76 0.047138
81 71 0.0225564
81 201 0.010453
81 62 0.0780142
82 205 0.0283688
82 74 0.0250784
82 137 0.0263158
82 81 0.0501672
83 209 0.0213523
83 234 0.0131148
83 141 0.0165563
83 237 0.0110294
83 88 0.0199336
83 155 0.0268456
83 124 0.0176056
83 104 0.0410959
84 67 0.00923077
84 175 0.00673401
84 46 0.010101
84 6 0.00934579
84 129 0.0134228
84 113 0.00325733
84 111 0.00983607
84 83 0.0157729
85 216 0.0391459
85 44 0.019084
85 74 0.0232558
85 181 0.05
85 69 0.0344828
86 161 0.0639098
86 85 0.0503876
89 232 0.0466926
89 116 0.0319149
89 189 0.0659341
90 44 0.020339
90 183 0.0194175
90 35 0.0123457
90 87 0.00326797
90 51 0.022082
90 201 0.020202
90 92 0.0155763
90 26 0.0265781
90 69 0.0201342
90 100 0.0154799
90 211 0.0145773
90 225 0.0247934
90 229 0.0320513
90 215 0.033557
90 8 0.0216718
90 89 0.0165563
91 231 0.0132013
91 189 0.00649351
91 2 0.013986
91 211 0.00606061
91 85 0.0103806
91 44 0.0178571
91 152 0.00983607
91 22 0.0197368
92 33 0.00986842
92 44 0.0555556
92 145 0.0394265
92 120 0.0880282
92 19 0.00655738
92 180 0.0445205
93 11 0.0357143
93 92 0.0214286
94 38 0.0140845
94 138 0.0265781
94 156 0.00980392
94 197 0.0186567
94 3 0.0196078
94 237 0.0218182
94 163 0.0166113
94 210 0.0138889
95 106 0.0350877
95 45 0.0102041
95 203 0.0136986
95 128 0.00689655
95 140 0.0194805
95 133 0.0573477
95 3 0.0295082
95 225 0.0305677
95 173 0.0170068
95 31 0.0242215
95 123 0.0172414
95 146 0.0397351
95 196 0.0316901
95 223 0.010989
95 64 0.00970874
95 94 0.025974
96 221 0.0134228
96 141 0.040678
96 177 0.0268199
96 10 0.0375427
97 225 0.0176211
97 236 0.00694444
97 19 0.108696
97 11 0.0364238
98 160 0.0300752
98 35 0.0350877
98 223 0.0240964
98 195 0.0392857
98 240 0.0377358
98 236 0.0185874
98 97 0.0895522
98 155 0.0501792
98 87 0.0148148
98 165 0.0103093
98 5 0.0318021
99 141 0.0468227
99 120 0.0298013
99 177 0.0418251
99 180 0.0477816
99 45 0.0649819
101 49 0.0198675
101 223 0.0265152
101 102 0.02
101 201 0.0362319
101 232 0.0213523
101 218 0.0439189
101 191 0.0437956
101 167 0.0436242
101 142 0.0547445
101 12 0.0231788
101 5 0.0731707
102 193 0.024911
102 21 0.0253623
102 23 0.020202
102 142 0.0474453
102 225 0.0132743
103 158 0.00970874
103 69 0.0245614
103 49 0.00967742
103 125 0.0136986
103 145 0.0137931
103 112 0.0194175
103 174 0.02589
103 67 0.0193548
103 127 0.0174825
103 19 0.00647249
104 193 0.0864662
104 184 0.0284698
104 185 0.0252708
104 112 0.0510204
104 151 0.0176056
104 152 0.0774648
104 160 0.0703704
104 88 0.0474576
104 9 0.0627306
104 71 0.030888
105 151 0.0923695
105 67 0.0654545
105 116 0.0698529
105 104 0.0321429
106 23 0.0361011
106 5 0.0394265
106 201 0.0190114
106 132 0.024735
106 42 0.0264151
106 86 0.0305344
107 215 0.0541516
107 50 0.043771
107 203 0.035461
108 26 0.00680272
108 98 0.0647482
108 210 0.0390071
108 218 0.0468227
108 32 0.03
108 190 0.0211268
108 89 0.0690909
108 177 0.0377358
108 3 0.0468227
108 208 0.0551471
108 124 0.0459364
