241 1444
20 128 0.018797000000000001
9 46 0.0517928
31 129 0.026819900000000001
130 7 0.0068493199999999999
129 68 0.017064800000000001
37 131 0.020979000000000001
132 108 0.0229508
133 80 0.069343100000000005
40 47 0.0031545700000000002
63 61 0.0065146600000000002
134 135 0.018726599999999999
82 136 0.047318600000000002
19 50 0.058620699999999998
137 47 0.0063091500000000003
138 30 0.023728800000000001
66 139 0.0103806
140 73 0.0138408
66 73 0.017482500000000002
141 67 0.061016899999999999
25 142 0.083969500000000002
143 144 0.019108300000000002
145 141 0.077777799999999994
74 26 0.029999999999999999
20 41 0.010135099999999999
55 146 0.076923099999999994
130 24 0.019802
147 121 0.00322581
148 8 0.0464286
45 52 0.035335699999999998
149 138 0.010563400000000001
138 126 0.016611299999999999
150 30 0.054982799999999998
151 70 0.0106383
56 152 0.085501900000000006
54 153 0.021352300000000001
154 155 0.069204199999999993
111 156 0.0069686399999999999
157 115 0.00320513
116 105 0.069852899999999996
55 158 0.0503597
141 159 0.0271186
51 160 0.090565999999999994
161 43 0.023809500000000001
17 75 0.0369231
162 163 0.0035211299999999999
157 48 0.0162338
142 164 0.050583700000000002
165 98 0.0103093
102 36 0.0302013
18 143 0.016611299999999999
166 148 0.034220500000000001
12 101 0.023178799999999999
139 24 0.017361100000000001
56 30 0.021201399999999999
129 167 0.051094899999999999
164 168 0.0098360700000000006
152 91 0.0098360700000000006
147 169 0.017543900000000001
113 170 0.017301
87 123 0.0111524
44 91 0.017857100000000001
171 154 0.036912800000000003
18 172 0.013986
111 136 0.022875800000000002
64 95 0.0097087400000000004
67 16 0.068728499999999998
125 80 0.042553199999999999
93 173 0.014981299999999999
174 119 0.024910999999999999
175 115 0.0035211299999999999
104 139 0.024561400000000001
25 10 0.048611099999999997
176 177 0.017316000000000002
166 30 0.035971200000000002
13 72 0.013986
178 179 0.0161812
180 99 0.0477816
137 133 0.0318021
181 182 0.029508199999999998
6 183 0.017123300000000001
184 18 0.043165500000000002
8 90 0.021671800000000001
172 68 0.020202000000000001
185 186 0.019084
176 187 0.072033899999999998
52 0 0.017421599999999999
104 83 0.041095899999999998
25 140 0.078014200000000006
137 42 0.028169
79 27 0.070422499999999999
81 121 0.074576299999999998
55 188 0.0149254
137 82 0.0263158
11 168 0.0060606100000000001
27 110 0.016447400000000001
189 89 0.065934099999999995
130 135 0.013986
145 139 0.049808400000000003
185 190 0.035433100000000002
11 97 0.036423799999999999
191 168 0.0099337699999999998
53 141 0.073529399999999995
169 192 0.00357143
91 159 0.0307167
193 51 0.094697000000000003
125 45 0.045627399999999999
194 26 0.0138408
49 142 0.074349399999999996
180 92 0.044520499999999998
195 156 0.0032894700000000001
146 196 0.050909099999999999
197 143 0.026819900000000001
198 155 0.033898299999999999
127 168 0.0099337699999999998
191 183 0.0494297
131 4 0.027026999999999999
175 6 0.044609700000000002
142 159 0.021739100000000001
16 18 0.092198600000000006
171 186 0.031914900000000003
55 170 0.0136986
146 199 0.036303599999999998
23 200 0.027491399999999999
201 16 0.032490999999999999
154 202 0.0301003
145 56 0.053846199999999997
171 34 0.054347800000000002
105 168 0.013114799999999999
176 80 0.0617761
87 98 0.014814799999999999
88 39 0.034965000000000003
203 37 0.022222200000000001
20 204 0.028268600000000001
